booking_id,booking_date,arrival_date,lead_time,stays_weekend,stays_weekday,adults,children,babies,meal_plan,country,market_segment,room_type,deposit_type,agent_id,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,special_requests,avg_daily_rate,parking_spaces,cancellation_fee_charged,is_canceled
6364,2023-10-13,2023-10-13,0,2,2,2,0.0,0,Half Board,RUS,Online,Standard,No Deposit,12,0,3.0,1,1,53.1,1,1,1
264,2022-07-10,2022-07-16,6,2,3,2,0.0,0,Self Catering,SWE,Online,Standard,Refundable,40,1,0.0,0,1,38.21,0,0,0
6739,2022-11-12,2022-11-17,5,1,2,2,0.0,0,Bed & Breakfast,CHN,Online,Standard,No Deposit,2,0,0.0,2,0,60.29,0,1,1
11618,2022-01-20,2022-04-16,86,0,1,1,1.0,0,Bed & Breakfast,ITA,Online,Standard,No Deposit,1,0,1.0,2,3,81.0,1,1,1
6255,2022-03-27,2022-06-03,68,0,4,3,0.0,0,Bed & Breakfast,PRT,Online,Standard,Non Refund,2,0,0.0,3,1,67.04,0,0,0
11991,2023-04-04,2023-05-01,27,2,1,1,0.0,0,Bed & Breakfast,ESP,Online,Standard,No Deposit,36,1,0.0,1,1,167.7,0,1,1
10577,2022-02-14,2022-04-27,72,0,3,1,0.0,0,Self Catering,ESP,Online,Standard,No Deposit,17,0,2.0,2,4,169.48,0,0,0
4219,2022-02-05,2022-03-09,32,0,2,1,3.0,0,Bed & Breakfast,NZL,Online,Suite,No Deposit,16,0,2.0,2,1,157.59,2,0,0
6370,2022-11-22,2023-03-09,107,0,3,2,0.0,1,Self Catering,PRT,Online,Standard,No Deposit,21,0,1.0,1,0,79.85,0,1,1
3819,2023-08-10,2023-09-11,32,1,0,3,0.0,0,Bed & Breakfast,BRA,Corporate,Suite,Non Refund,36,0,1.0,0,0,22.84,0,0,0
10530,2022-04-18,2022-06-19,62,3,4,2,1.0,0,Bed & Breakfast,THA,Online,Standard,No Deposit,28,0,2.0,2,2,87.51,0,1,1
3767,2023-11-11,2023-11-22,11,2,4,2,0.0,0,Full Board,POL,Online,Standard,No Deposit,42,1,2.0,1,2,72.44,1,0,0
6178,2022-05-27,2022-06-11,15,0,1,1,0.0,0,Half Board,FRA,Online,Standard,No Deposit,37,1,1.0,1,0,148.58,1,1,1
975,2023-02-03,2023-02-18,15,0,4,1,0.0,0,Half Board,POL,Online,Deluxe,Refundable,4,0,1.0,0,3,132.75,0,1,1
8601,2023-05-07,2023-07-27,81,2,6,1,1.0,0,Half Board,DEU,Offline,Deluxe,Refundable,45,0,3.0,1,1,76.78,2,0,0
394,2022-06-18,2023-02-09,236,2,2,1,0.0,2,Bed & Breakfast,AUS,Online,Standard,No Deposit,2,0,0.0,2,0,50.41,0,1,1
1226,2023-01-02,2023-01-02,0,1,1,1,0.0,0,Bed & Breakfast,PRT,Corporate,Deluxe,No Deposit,29,0,0.0,1,2,35.99,0,0,0
8261,2023-12-17,2024-07-17,213,4,4,1,0.0,0,Bed & Breakfast,PHL,Groups,Standard,No Deposit,44,0,1.0,4,3,38.93,2,1,1
4889,2023-05-15,2024-06-08,390,1,4,2,0.0,0,Bed & Breakfast,KOR,Groups,Deluxe,Non Refund,43,0,0.0,4,1,102.54,0,1,1
3346,2023-11-19,2023-11-29,10,3,3,1,0.0,0,Half Board,NLD,Corporate,Suite,No Deposit,48,1,0.0,1,0,65.42,0,0,0
6084,2022-07-06,2022-10-03,89,1,3,3,0.0,0,Half Board,ISR,Online,Standard,Non Refund,41,0,0.0,1,3,130.48,1,0,0
5639,2023-07-24,2024-03-08,228,3,1,2,0.0,0,Half Board,SAU,Corporate,Suite,No Deposit,8,0,0.0,0,1,24.51,1,1,1
2273,2023-02-19,2023-05-26,96,1,1,2,0.0,0,Bed & Breakfast,EST,Online,Deluxe,No Deposit,4,0,,2,2,35.32,0,1,1
10956,2022-05-10,2022-05-28,18,1,2,2,0.0,0,Bed & Breakfast,SAU,Online,Deluxe,Non Refund,12,0,,0,2,244.29,0,0,0
7929,2022-09-03,2023-04-13,222,2,2,2,0.0,0,Bed & Breakfast,BEL,Online,Standard,No Deposit,23,0,,3,4,44.32,1,1,1
2215,2023-07-05,2023-08-20,46,2,7,1,1.0,0,Self Catering,NZL,Online,Standard,Refundable,1,0,0.0,1,2,52.71,1,0,0
10032,2022-04-26,2022-07-09,74,1,2,2,0.0,0,Half Board,GBR,Aviation,Deluxe,Non Refund,3,0,1.0,1,5,37.89,0,0,0
6855,2023-04-24,2024-03-20,331,3,3,2,0.0,0,Full Board,AUS,Online,Deluxe,No Deposit,48,0,,3,2,45.99,1,1,1
4766,2023-07-25,2023-08-17,23,2,5,2,1.0,1,Half Board,USA,Online,Standard,No Deposit,2,1,0.0,2,0,38.82,1,0,0
6077,2022-07-12,2022-11-03,114,1,3,3,0.0,0,Bed & Breakfast,ISR,Online,Deluxe,No Deposit,9,0,0.0,1,1,125.79,1,1,1
3849,2022-02-01,2022-05-02,90,1,2,3,1.0,0,Bed & Breakfast,EST,Offline,Standard,No Deposit,20,0,0.0,0,1,43.01,1,0,0
342,2022-02-08,2022-02-13,5,2,1,1,0.0,0,Half Board,GBR,Online,Standard,Refundable,27,0,0.0,2,0,59.7,0,1,1
11493,2023-02-15,2023-03-06,19,1,5,1,0.0,0,Half Board,NLD,Corporate,Suite,Non Refund,3,0,0.0,2,0,57.66,2,0,0
1993,2022-03-21,2023-08-03,500,1,1,3,0.0,0,Half Board,BEL,Online,Standard,No Deposit,50,0,,1,3,30.98,1,1,1
9213,2022-01-24,2022-05-28,124,1,1,2,1.0,0,Bed & Breakfast,RUS,Online,Deluxe,Non Refund,35,0,3.0,3,3,68.87,1,1,1
9140,2022-05-28,2022-05-28,0,2,2,3,0.0,1,Bed & Breakfast,EGY,Online,Deluxe,Refundable,27,0,3.0,1,2,90.77,0,1,0
8977,2023-08-17,2023-09-18,32,1,2,2,0.0,0,Bed & Breakfast,DEU,Online,Suite,Non Refund,14,0,0.0,3,0,44.37,2,1,1
11098,2022-04-03,2022-04-17,14,0,0,1,2.0,0,Full Board,CHN,Online,Deluxe,No Deposit,30,0,0.0,1,3,94.41,1,0,0
10713,2023-03-09,2023-04-23,45,2,2,1,0.0,1,Full Board,ISR,Online,Standard,No Deposit,40,1,0.0,2,1,128.05,0,0,0
9642,2023-06-10,2024-04-18,313,2,1,2,3.0,0,Half Board,ITA,Offline,Deluxe,No Deposit,29,0,0.0,1,0,118.14,0,1,1
847,2022-09-02,2022-11-10,69,2,2,2,0.0,0,Half Board,RUS,Groups,Standard,No Deposit,34,0,0.0,3,0,84.88,0,1,1
4289,2023-06-13,2023-08-27,75,1,7,4,0.0,0,Self Catering,FRA,Online,Deluxe,No Deposit,24,0,2.0,1,0,56.45,0,0,1
2664,2022-02-12,2022-10-26,256,2,4,2,0.0,0,Bed & Breakfast,DEU,Online,Standard,No Deposit,29,0,0.0,3,3,213.24,1,1,1
1951,2022-08-21,2022-11-01,72,2,2,3,0.0,1,Bed & Breakfast,SRB,Corporate,Standard,Refundable,11,0,3.0,1,0,48.43,1,1,1
10308,2023-12-08,2024-01-09,32,4,1,2,0.0,0,Full Board,LVA,Online,Deluxe,No Deposit,50,0,0.0,1,0,116.03,1,1,0
8398,2022-11-17,2022-11-28,11,0,1,1,2.0,0,Bed & Breakfast,KOR,Online,Suite,No Deposit,12,0,,3,2,112.5,0,0,0
11333,2023-11-21,2024-02-22,93,2,3,1,2.0,1,Half Board,IND,Online,Standard,No Deposit,10,0,0.0,2,2,408.38,0,0,0
3630,2023-07-14,2023-12-15,154,0,1,3,0.0,0,Bed & Breakfast,CHE,Offline,Deluxe,No Deposit,36,1,1.0,1,4,73.41,0,0,0
10869,2022-09-21,2022-11-02,42,3,0,2,1.0,0,Half Board,ARE,Online,Suite,No Deposit,22,1,0.0,2,0,74.02,0,0,0
6836,2023-07-19,2023-09-12,55,2,1,3,0.0,0,Bed & Breakfast,BEL,Online,Standard,No Deposit,18,0,1.0,0,2,79.47,0,1,1
8509,2022-07-12,2022-08-06,25,0,6,1,1.0,0,Half Board,DEU,Corporate,Deluxe,No Deposit,45,0,4.0,1,1,78.65,2,0,0
5876,2023-04-23,2023-04-30,7,2,3,1,0.0,0,Bed & Breakfast,AUT,Aviation,Standard,No Deposit,44,0,0.0,0,0,68.92,0,1,1
3347,2022-12-03,2022-12-08,5,2,3,2,2.0,0,Half Board,DEU,Online,Deluxe,No Deposit,21,0,,3,2,138.83,1,0,0
5636,2022-05-14,2023-01-23,254,1,0,1,1.0,0,Bed & Breakfast,HUN,Online,Standard,Non Refund,23,0,,2,3,93.99,0,1,1
218,2023-07-16,2023-07-23,7,0,2,2,0.0,0,Bed & Breakfast,ISR,Online,Standard,Refundable,2,0,,1,1,62.72,0,0,0
569,2023-03-18,2023-04-18,31,0,3,1,1.0,0,Bed & Breakfast,PRT,Online,Standard,No Deposit,29,1,1.0,1,1,65.55,0,0,0
11778,2023-08-08,2023-08-18,10,1,3,1,0.0,0,Bed & Breakfast,AUT,Online,Standard,No Deposit,26,0,0.0,2,0,198.41,0,1,1
848,2023-08-19,2024-01-01,135,3,4,2,,0,Self Catering,NLD,Groups,Standard,Non Refund,38,0,,1,0,79.91,2,0,0
10473,2022-02-18,2022-05-04,75,3,3,2,0.0,0,Full Board,TUR,Corporate,Deluxe,Refundable,10,0,0.0,2,1,99.93,2,0,0
3517,2022-08-03,2022-08-23,20,2,5,2,1.0,0,Half Board,CHE,Corporate,Deluxe,Non Refund,4,0,0.0,4,1,89.57,0,0,0
4623,2023-12-07,2024-03-26,110,0,3,2,1.0,0,Bed & Breakfast,EGY,Groups,Deluxe,No Deposit,32,0,0.0,3,0,74.34,2,1,1
9475,2022-10-13,2023-03-29,167,2,5,1,,0,Half Board,SGP,Online,Suite,No Deposit,42,1,1.0,0,1,86.03,0,0,0
4522,2022-08-30,2022-11-08,70,0,1,2,0.0,0,Half Board,FRA,Online,Standard,No Deposit,31,0,0.0,0,1,121.33,1,1,1
9333,2023-09-02,2024-05-18,259,2,3,1,3.0,1,Self Catering,FIN,Online,Standard,No Deposit,8,0,0.0,2,5,67.5,0,1,1
7750,2023-11-25,2024-08-10,259,0,6,1,0.0,0,Self Catering,BEL,Groups,Deluxe,Refundable,32,1,2.0,0,2,86.42,2,0,0
124,2023-01-30,2023-03-22,51,0,6,3,0.0,1,Full Board,BEL,Online,Deluxe,No Deposit,48,0,0.0,3,2,70.02,0,0,0
7501,2023-03-19,2023-07-20,123,0,2,2,0.0,0,Bed & Breakfast,GBR,Corporate,Standard,No Deposit,15,0,0.0,3,1,116.97,0,0,0
7583,2023-03-26,2023-11-27,246,3,3,2,2.0,0,Bed & Breakfast,ISR,Online,Standard,No Deposit,33,0,3.0,0,4,29.08,0,1,1
5927,2023-07-31,2023-09-07,38,4,6,1,0.0,2,Half Board,ITA,Groups,Deluxe,Non Refund,8,0,,1,0,59.92,0,0,0
7464,2023-06-20,2023-07-27,37,0,4,4,0.0,0,Bed & Breakfast,USA,Offline,Deluxe,No Deposit,45,0,0.0,2,1,53.86,0,0,0
3846,2022-12-04,2023-01-11,38,1,2,1,2.0,1,Half Board,AUT,Offline,Deluxe,Non Refund,28,0,0.0,2,3,84.06,1,0,0
3751,2022-10-15,2022-10-23,8,2,3,4,2.0,1,Bed & Breakfast,MYS,Offline,Standard,No Deposit,30,0,2.0,3,1,43.77,0,0,0
635,2022-04-03,2022-06-30,88,0,3,2,0.0,1,Half Board,ESP,Offline,Standard,No Deposit,5,0,0.0,1,1,36.73,0,1,1
2491,2022-11-05,2023-03-11,126,3,4,2,0.0,1,Bed & Breakfast,SAU,Online,Deluxe,Refundable,33,0,0.0,3,1,35.42,0,1,1
2025,2023-07-23,2023-10-22,91,0,3,3,0.0,0,Bed & Breakfast,CAN,Online,Standard,No Deposit,26,1,1.0,2,0,140.02,0,1,1
2283,2023-02-28,2023-09-25,209,0,2,3,0.0,0,Full Board,ARE,Online,Standard,No Deposit,45,0,,2,5,61.91,0,1,1
313,2023-05-07,2023-08-01,86,0,2,2,0.0,0,Bed & Breakfast,CHL,Groups,Deluxe,Non Refund,18,0,0.0,0,1,116.12,0,1,1
4836,2022-10-22,2023-01-19,89,3,1,2,,0,Half Board,DEU,Offline,Standard,No Deposit,27,0,0.0,0,1,94.43,1,1,1
6894,2023-11-11,2024-02-07,88,0,4,4,0.0,0,Full Board,NOR,Aviation,Standard,No Deposit,1,0,2.0,1,1,156.7,0,0,0
4204,2023-01-20,2023-01-20,0,2,3,3,0.0,0,Self Catering,EST,Online,Standard,No Deposit,27,0,0.0,1,1,68.72,0,0,0
10898,2022-03-07,2022-08-13,159,0,3,2,1.0,0,Half Board,FRA,Corporate,Standard,No Deposit,39,0,0.0,0,1,96.38,0,1,1
9171,2023-02-11,2023-03-17,34,1,1,2,0.0,0,Bed & Breakfast,BRA,Groups,Deluxe,No Deposit,13,0,0.0,1,2,54.65,1,0,0
4796,2023-03-30,2023-06-19,81,1,0,2,0.0,0,Half Board,CHE,Offline,Deluxe,No Deposit,34,0,0.0,0,1,121.33,2,1,1
8496,2023-05-09,2023-11-03,178,0,1,2,0.0,0,Bed & Breakfast,FRA,Offline,Standard,No Deposit,22,1,0.0,1,3,73.5,1,0,0
8408,2022-11-10,2023-01-16,67,3,2,2,0.0,0,Bed & Breakfast,ARG,Online,Standard,Refundable,2,0,1.0,1,1,97.61,1,0,0
1199,2022-02-07,2022-05-12,94,0,4,2,0.0,0,Bed & Breakfast,IND,Groups,Suite,No Deposit,47,0,0.0,0,0,25.83,0,0,0
8577,2023-06-26,2023-09-12,78,2,3,2,2.0,0,Full Board,BRA,Online,Standard,No Deposit,42,1,0.0,2,1,149.83,0,0,0
3738,2023-10-10,2023-12-21,72,1,6,3,0.0,0,Full Board,BGR,Online,Suite,No Deposit,5,0,1.0,2,1,80.39,0,0,0
9978,2023-03-07,2024-07-19,500,3,5,1,1.0,0,Half Board,NLD,Online,Standard,No Deposit,32,1,2.0,1,0,66.3,1,1,1
7318,2023-06-03,2023-07-13,40,3,3,2,0.0,2,Bed & Breakfast,FIN,Aviation,Standard,No Deposit,42,1,0.0,1,2,144.77,1,0,0
1818,2022-06-27,2022-07-06,9,2,3,2,0.0,0,Full Board,NLD,Corporate,Deluxe,No Deposit,22,0,,1,2,42.96,1,1,1
8750,2022-04-30,2022-07-11,72,2,4,1,1.0,0,Bed & Breakfast,JPN,Online,Deluxe,No Deposit,26,0,2.0,1,2,56.12,1,1,1
480,2022-04-08,2022-04-28,20,1,5,1,1.0,0,Self Catering,ESP,Online,Suite,No Deposit,22,0,0.0,2,3,238.53,0,1,1
4150,2023-12-10,2024-02-18,70,0,1,1,0.0,0,Self Catering,GBR,Corporate,Suite,No Deposit,18,0,0.0,1,0,36.1,0,1,1
3496,2023-03-31,2023-04-19,19,1,2,3,0.0,0,Full Board,ESP,Online,Standard,No Deposit,1,1,0.0,2,1,71.65,1,0,0
9439,2022-02-07,2022-03-03,24,1,3,1,0.0,0,Half Board,CHL,Online,Standard,Refundable,43,0,0.0,2,0,173.46,1,1,1
3215,2022-08-03,2022-10-30,88,1,2,2,0.0,0,Full Board,BRA,Offline,Deluxe,No Deposit,26,0,0.0,1,2,68.21,2,1,1
744,2022-02-08,2022-02-26,18,0,3,1,0.0,0,Bed & Breakfast,FRA,Corporate,Deluxe,Non Refund,28,0,1.0,1,0,946.76,0,0,0
6602,2022-02-01,2022-03-27,54,0,4,2,1.0,0,Self Catering,HUN,Online,Standard,No Deposit,46,0,1.0,0,1,86.24,0,0,0
6322,2023-05-20,2023-12-03,197,1,2,1,0.0,0,Half Board,SVN,Groups,Standard,No Deposit,13,0,4.0,0,0,53.31,0,1,1
10884,2022-08-04,2022-10-16,73,1,1,3,0.0,1,Bed & Breakfast,CHE,Groups,Deluxe,No Deposit,15,0,0.0,1,1,127.75,0,0,0
5353,2023-11-05,2024-02-25,112,4,2,4,0.0,0,Bed & Breakfast,NLD,Offline,Suite,No Deposit,18,0,4.0,2,1,141.97,1,1,1
970,2023-04-23,2023-06-21,59,0,3,1,0.0,2,Half Board,ZAF,Online,Deluxe,Non Refund,25,1,0.0,5,0,96.84,1,0,0
10738,2022-09-23,2022-10-27,34,0,5,2,0.0,0,Full Board,AUS,Online,Deluxe,No Deposit,20,0,0.0,1,1,74.2,0,0,0
7985,2022-04-29,2022-08-30,123,1,3,2,2.0,0,Self Catering,SWE,Online,Deluxe,No Deposit,35,0,0.0,6,2,102.21,0,0,0
1129,2022-10-09,2023-02-10,124,0,2,2,0.0,0,Half Board,EST,Online,Deluxe,No Deposit,33,0,0.0,4,0,47.21,0,1,1
6090,2023-11-10,2024-07-21,254,0,2,3,1.0,2,Self Catering,LVA,Online,Deluxe,No Deposit,5,0,3.0,2,0,134.28,0,1,1
5014,2023-04-13,2023-06-13,61,0,4,3,0.0,1,Bed & Breakfast,BEL,Corporate,Standard,No Deposit,17,0,2.0,1,0,58.23,1,0,0
7350,2023-04-29,2023-05-29,30,3,3,3,3.0,0,Bed & Breakfast,FRA,Aviation,Standard,Refundable,34,0,3.0,1,1,44.76,0,0,0
166,2022-10-21,2023-05-03,194,1,4,1,0.0,0,Half Board,BRA,Offline,Standard,No Deposit,13,0,0.0,2,0,86.97,0,0,0
8233,2022-07-30,2022-10-09,71,0,5,1,0.0,0,Half Board,CHE,Online,Standard,No Deposit,46,0,2.0,2,0,56.27,0,1,1
1896,2023-06-01,2023-08-09,69,4,1,2,0.0,1,Bed & Breakfast,CHN,Offline,Deluxe,No Deposit,25,0,,0,2,30.02,0,1,1
7121,2022-06-09,2022-07-22,43,0,2,2,0.0,0,Bed & Breakfast,ITA,Groups,Deluxe,No Deposit,6,0,,1,0,42.5,0,0,0
6462,2023-05-27,2023-11-11,168,3,4,1,0.0,0,Full Board,ITA,Offline,Deluxe,No Deposit,20,1,0.0,4,3,60.79,0,0,0
2545,2022-09-03,2022-11-06,64,1,3,2,0.0,0,Half Board,DEU,Online,Deluxe,No Deposit,45,0,,3,3,173.36,0,1,1
5584,2022-10-02,2023-07-04,275,3,3,1,2.0,0,Bed & Breakfast,BRA,Offline,Deluxe,No Deposit,38,0,0.0,1,0,105.25,0,0,0
7613,2023-02-01,2023-06-23,142,0,0,1,,1,Full Board,GBR,Online,Suite,No Deposit,18,0,0.0,1,0,146.63,2,1,0
6530,2023-05-18,2023-06-18,31,2,2,2,1.0,0,Bed & Breakfast,DEU,Corporate,Suite,Refundable,39,0,2.0,2,0,213.13,1,0,0
11183,2023-03-11,2023-05-22,72,0,6,2,0.0,0,Bed & Breakfast,DEU,Corporate,Suite,Refundable,4,1,0.0,1,2,38.07,0,0,0
3708,2023-04-05,2023-07-21,107,0,3,2,0.0,1,Bed & Breakfast,PER,Online,Deluxe,No Deposit,48,0,0.0,1,1,298.53,1,0,1
1317,2022-03-07,2022-04-28,52,2,2,2,0.0,0,Half Board,USA,Groups,Deluxe,No Deposit,38,0,3.0,2,0,67.24,0,1,1
2583,2023-12-29,2024-04-11,104,1,3,4,0.0,1,Half Board,AUT,Online,Standard,Non Refund,23,0,1.0,0,2,31.59,0,0,0
8523,2023-03-27,2023-04-20,24,1,3,1,0.0,0,Bed & Breakfast,ESP,Offline,Standard,No Deposit,10,0,1.0,4,2,83.73,1,1,1
10705,2022-02-16,2022-04-30,73,4,3,1,0.0,0,Full Board,BEL,Corporate,Deluxe,No Deposit,32,0,0.0,1,3,62.37,0,1,1
6246,2023-04-21,2023-09-02,134,2,4,1,2.0,0,Full Board,FRA,Groups,Deluxe,Refundable,42,0,0.0,1,1,98.08,1,0,0
7569,2022-02-23,2022-03-04,9,2,5,2,0.0,0,Bed & Breakfast,ESP,Offline,Deluxe,Non Refund,26,0,2.0,1,0,89.5,1,0,0
6186,2023-07-28,2023-08-03,6,1,3,2,2.0,0,Bed & Breakfast,ESP,Online,Deluxe,No Deposit,13,0,2.0,0,4,85.37,0,0,0
2702,2022-07-29,2022-08-16,18,2,3,1,1.0,0,Self Catering,MAR,Online,Standard,No Deposit,38,0,0.0,2,3,109.18,0,1,0
2520,2022-05-02,2022-05-19,17,3,3,4,3.0,0,Half Board,SVK,Online,Suite,No Deposit,34,0,,2,2,59.72,0,0,0
1097,2022-08-25,2022-11-24,91,0,3,1,1.0,0,Self Catering,FRA,Groups,Deluxe,No Deposit,40,0,0.0,3,1,90.86,1,1,1
8444,2022-09-11,2022-11-03,53,3,7,2,0.0,0,Bed & Breakfast,PER,Groups,Deluxe,No Deposit,13,0,,3,0,58.4,0,1,1
5304,2023-07-31,2023-10-03,64,2,2,2,1.0,0,Bed & Breakfast,NZL,Corporate,Deluxe,No Deposit,14,0,1.0,0,3,152.44,0,0,0
4134,2022-12-04,2023-05-12,159,2,1,2,0.0,0,Bed & Breakfast,THA,Corporate,Standard,No Deposit,9,0,2.0,0,0,112.0,0,0,0
9972,2023-05-12,2023-12-02,204,0,2,1,1.0,0,Half Board,ARE,Online,Standard,No Deposit,15,0,0.0,0,2,90.61,1,0,0
300,2022-08-02,2022-09-30,59,2,2,2,0.0,0,Full Board,BEL,Corporate,Suite,No Deposit,8,0,,2,4,48.59,0,1,1
11889,2023-06-07,2023-07-01,24,4,5,1,0.0,0,Bed & Breakfast,AUT,Online,Deluxe,No Deposit,34,0,0.0,1,1,34.57,0,1,1
1141,2023-07-26,2023-09-25,61,0,3,2,1.0,0,Bed & Breakfast,NOR,Corporate,Deluxe,No Deposit,3,0,,2,1,23.58,1,0,0
5451,2023-05-07,2023-06-10,34,1,3,2,0.0,0,Self Catering,CAN,Corporate,Standard,No Deposit,42,0,3.0,0,2,30.56,0,1,1
3860,2022-12-24,2023-01-11,18,2,4,2,0.0,0,Half Board,HRV,Online,Suite,No Deposit,32,0,0.0,0,1,125.21,1,0,0
7421,2022-08-21,2023-08-18,362,4,2,4,,0,Bed & Breakfast,GBR,Corporate,Standard,No Deposit,18,0,0.0,1,1,91.2,0,1,1
5541,2023-06-20,2023-06-23,3,0,3,2,2.0,2,Bed & Breakfast,ESP,Online,Standard,No Deposit,32,0,,1,1,183.13,0,1,1
456,2022-03-19,2022-08-24,158,1,3,4,,2,Full Board,RUS,Online,Deluxe,No Deposit,30,0,0.0,1,4,169.61,1,1,1
7811,2023-07-29,2023-08-09,11,1,5,1,0.0,0,Bed & Breakfast,EST,Corporate,Standard,No Deposit,2,0,,0,3,21.2,1,1,1
11668,2022-07-18,2022-07-30,12,1,2,2,1.0,0,Bed & Breakfast,BEL,Online,Standard,No Deposit,3,0,,2,2,44.11,1,0,0
9989,2023-05-26,2023-06-24,29,3,3,4,2.0,0,Full Board,MAR,Online,Deluxe,Non Refund,38,0,0.0,1,3,42.45,0,0,0
3339,2023-04-06,2023-05-12,36,0,4,3,0.0,0,Bed & Breakfast,CZE,Online,Suite,Non Refund,34,0,0.0,0,3,156.26,0,0,0
1705,2022-01-09,2022-09-02,236,2,2,2,0.0,0,Half Board,DEU,Aviation,Standard,Non Refund,11,0,0.0,4,1,75.19,0,0,0
2163,2022-09-25,2022-10-15,20,1,3,2,0.0,0,Full Board,ITA,Groups,Standard,Refundable,49,0,0.0,2,2,41.47,0,0,0
2688,2023-08-26,2023-10-04,39,2,1,3,0.0,0,Bed & Breakfast,BEL,Online,Deluxe,Non Refund,46,0,0.0,2,1,166.91,0,0,0
